category,subcategory,name,part_number,5_seat_essential,5_seat_expression,5_seat_extreme,7_seat_essential,7_seat_expression,7_seat_extreme,notes
comfort_and_protection,interior_fittings,Thermoformed boot liner for 5-seater version,849756861R,compatible,compatible,incompatible,incompatible,incompatible,incompatible,
comfort_and_protection,interior_fittings,Thermoformed boot liner for 7-seater version,688107961R,incompatible,incompatible,incompatible,compatible,compatible,incompatible,
comfort_and_protection,interior_fittings,Boot mat for 5-seater version,849048487R,compatible,compatible,compatible,incompatible,incompatible,incompatible,
comfort_and_protection,floor_mats,"Comfort textile floor mats, for 5-seater version",749021705R,compatible,compatible,compatible,incompatible,incompatible,incompatible,
comfort_and_protection,floor_mats,"Comfort textile floor mats, for 7-seater version",749025566R,incompatible,incompatible,incompatible,compatible,compatible,compatible,
comfort_and_protection,floor_mats,"Premium textile floor mats, for 5-seater version",749029652R,compatible,compatible,incompatible,incompatible,incompatible,incompatible,
comfort_and_protection,floor_mats,"Premium textile floor mats, for 7-seater version",749020162R,incompatible,incompatible,incompatible,compatible,compatible,incompatible,
comfort_and_protection,floor_mats,"Rubber floor mats, for 5-seater version",749020878R,compatible,compatible,compatible,incompatible,incompatible,incompatible,
comfort_and_protection,floor_mats,"Rubber floor mats, for 7-seater version",749022794R,incompatible,incompatible,incompatible,compatible,compatible,compatible,
comfort_and_protection,bodywork_protection,Front Jogger mudguards,8201735531,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,bodywork_protection,Rear Jogger mudguards,8201741582,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,bodywork_protection,Door edge and mirror protectors,8201743312,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,bodywork_protection,Front + rear lower door protectors,8201737151,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,seat_covers,Storage covers for 3rd row removable seats (2 seats),7711949289,incompatible,incompatible,incompatible,compatible,compatible,compatible,
comfort_and_protection,seat_covers,Front seat covers,873706014R,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,seat_covers,Front and rear seat covers for the 5-seater version - 1/3-2/3 bench seat,873703353R,compatible,compatible,compatible,incompatible,incompatible,incompatible,
comfort_and_protection,seat_covers,Front and rear seat covers for the 7-seater version - 1/3-2/3 bench seat,873708679R,incompatible,incompatible,incompatible,compatible,compatible,compatible,
comfort_and_protection,seat_covers,Rear seat protection for dogs,7711945735,compatible,compatible,compatible,compatible,compatible,compatible,
transport,innature,Sleep Pack,,compatible,compatible,compatible,compatible,compatible,compatible,Part number printed as TBA.
transport,innature,Sleep Pack - Camper Box,984239528R,compatible,compatible,compatible,compatible,compatible,compatible,
transport,innature,Sleep Pack - Mattress,984247351R,compatible,compatible,compatible,compatible,compatible,compatible,
transport,innature,Tailgate Tent,7717300226,compatible,compatible,compatible,compatible,compatible,compatible,
transport,innature,Blackout Blinds,7717300430,compatible,compatible,compatible,compatible,compatible,compatible,
transport,innature,Storage Bag for 3rd Row Seats,7711949289,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Swan-neck fixed towbar pack - 13-pin,7711949287,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Swan-neck fixed towbar pack - 7-pin,7711949288,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Tool-free removable towbar pack - 13-pin,7711949285,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Tool-free removable towbar pack - 7-pin,7711949286,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Towbar wiring harness adapter - 13/7-pin,7711226912,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Pure Instinct 2-bicycle rack on towbar - 13-pin,7711949994,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Pure Instinct 3-bicycle rack on towbar - 13-pin,7711949995,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Easyfold 3-bicycle rack on towbar - 13-pin,7711946559,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Europower 915 2-bike electric bicycle rack on towbar - 13-pin,7711577333,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Europower 916 2-bike electric bicycle rack on towbar - 7-pin,7711574689,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Express Hang On 2-bicycle rack on towbar,7711577326,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Express Hang On 3-bicycle rack on towbar,7711577327,compatible,compatible,compatible,compatible,compatible,compatible,
transport,towing,Number plate bracket for Express Hang On bicycle rack - 7-pin,7711210431,compatible,compatible,compatible,compatible,compatible,compatible,
